0.29,-0.16,0.23,-0.84
0.00,-0.16,0.23,-0.84
0.37,0.10,0.23,-1.10
0.00,0.10,0.23,-1.10
0.13,0.10,0.36,-1.10
0.00,0.10,0.36,-1.10
0.32,-0.03,0.23,-0.84
0.00,-0.03,0.23,-0.84
0.18,0.10,0.36,-0.84
0.00,0.10,0.36,-0.84
0.26,0.10,0.36,-1.10
0.00,0.10,0.36,-1.10
0.32,-0.03,0.23,-0.84
0.00,-0.03,0.23,-0.84
0.00,-0.03,0.23,-0.84
0.00,-0.03,0.23,-0.84
0.13,-0.16,0.23,-0.84
0.00,-0.16,0.23,-0.84
0.29,-0.03,0.23,-0.58
0.00,-0.03,0.23,-0.58
0.18,-0.03,0.10,-0.71
0.00,-0.03,0.10,-0.71
0.13,0.10,0.10,-0.71
0.00,0.10,0.10,-0.71
0.18,-0.03,0.10,-0.58
0.00,-0.03,0.10,-0.58
0.18,0.10,0.10,-0.71
0.00,0.10,0.10,-0.71
0.22,-0.03,0.23,-0.58
0.00,-0.03,0.23,-0.58
